latitude,longitude,acq_date,acq_time,confidence,frp,instrument,satellite,acq_datetime
28.43053,76.59563,2026-02-16,0743,n,2.55,VIIRS,N,2026-02-16 07:43:00
28.51158,76.93765,2026-02-16,0743,n,4.55,VIIRS,N,2026-02-16 07:43:00
28.66102,76.42123,2026-02-16,0743,n,12.23,VIIRS,N,2026-02-16 07:43:00
28.82774,77.63826,2026-02-16,0743,n,2.0,VIIRS,N,2026-02-16 07:43:00
28.86798,77.46197,2026-02-16,0743,n,1.11,VIIRS,N,2026-02-16 07:43:00
29.08525,78.09719,2026-02-16,0743,n,8.66,VIIRS,N,2026-02-16 07:43:00
29.091,78.94439,2026-02-16,0743,n,2.62,VIIRS,N,2026-02-16 07:43:00
29.10863,77.84534,2026-02-16,0743,n,3.27,VIIRS,N,2026-02-16 07:43:00
29.16011,75.64187,2026-02-16,0743,n,2.34,VIIRS,N,2026-02-16 07:43:00
29.18888,79.27606,2026-02-16,0743,n,2.35,VIIRS,N,2026-02-16 07:43:00
29.26024,76.84917,2026-02-16,0743,n,2.64,VIIRS,N,2026-02-16 07:43:00
29.2603,76.85034,2026-02-16,0743,n,3.3,VIIRS,N,2026-02-16 07:43:00
29.314,77.67384,2026-02-16,0743,n,2.41,VIIRS,N,2026-02-16 07:43:00
29.32015,78.22794,2026-02-16,0743,n,3.8,VIIRS,N,2026-02-16 07:43:00
29.35249,78.53471,2026-02-16,0743,n,2.47,VIIRS,N,2026-02-16 07:43:00
29.42635,77.22232,2026-02-16,0743,n,2.01,VIIRS,N,2026-02-16 07:43:00
29.51485,77.2505,2026-02-16,0743,n,2.49,VIIRS,N,2026-02-16 07:43:00
29.5378,78.0393,2026-02-16,0743,n,1.9,VIIRS,N,2026-02-16 07:43:00
29.59009,79.39363,2026-02-16,0743,n,3.51,VIIRS,N,2026-02-16 07:43:00
29.5928,79.38864,2026-02-16,0743,n,1.55,VIIRS,N,2026-02-16 07:43:00
29.60245,78.04604,2026-02-16,0743,n,3.28,VIIRS,N,2026-02-16 07:43:00
29.76289,78.42364,2026-02-16,0743,n,1.52,VIIRS,N,2026-02-16 07:43:00
29.81783,79.2164,2026-02-16,0743,n,1.9,VIIRS,N,2026-02-16 07:43:00
29.82912,77.05251,2026-02-16,0743,n,5.93,VIIRS,N,2026-02-16 07:43:00
29.83055,77.05045,2026-02-16,0743,n,5.45,VIIRS,N,2026-02-16 07:43:00
29.83498,77.77319,2026-02-16,0743,n,2.79,VIIRS,N,2026-02-16 07:43:00
29.84216,79.41662,2026-02-16,0743,n,1.37,VIIRS,N,2026-02-16 07:43:00
29.86143,79.3019,2026-02-16,0743,n,1.96,VIIRS,N,2026-02-16 07:43:00
29.86418,79.29713,2026-02-16,0743,n,1.96,VIIRS,N,2026-02-16 07:43:00
29.96419,78.14758,2026-02-16,0743,n,4.22,VIIRS,N,2026-02-16 07:43:00
29.96833,78.9378,2026-02-16,0743,n,3.97,VIIRS,N,2026-02-16 07:43:00
29.96879,78.93887,2026-02-16,0743,n,4.24,VIIRS,N,2026-02-16 07:43:00
29.97322,76.99519,2026-02-16,0743,n,2.49,VIIRS,N,2026-02-16 07:43:00
29.98238,77.24593,2026-02-16,0743,n,4.43,VIIRS,N,2026-02-16 07:43:00
29.9827,77.24872,2026-02-16,0743,l,2.52,VIIRS,N,2026-02-16 07:43:00
29.99238,79.36614,2026-02-16,0743,n,3.65,VIIRS,N,2026-02-16 07:43:00
30.00003,79.36922,2026-02-16,0743,n,4.07,VIIRS,N,2026-02-16 07:43:00
